Season,Competition,Category,Athlete,C1,K1,X1,,,
2025,World Championships,U23 Women,MAKACHEVA Angelina,-,36,29,,,
2025,World Championships,U23 Women,ODRIOZOLA Maite,-,37,-,,,
2025,World Championships,U23 Women,AGUIRRE GONZALEZ Florencia,-,38,36,,,
2025,World Championships,U23 Women,SHEAFF Holly,-,43,-,,,
2025,World Championships,U23 Women,CHOUHAN Shikha,-,46,46,,,
2025,World Championships,U23 Women,PISTONI Lucia,-,47,8,,,
2025,World Championships,U23 Women,DUC Jessica,-,50,45,,,
2025,World Championships,U23 Women,CARVALHO Leonor,-,51,50,,,
2025,World Championships,U23 Women,MILLS Waris,-,52,41,,,
2025,World Championships,U23 Women,WOOD Emmi,-,53,52,,,
2025,World Championships,U23 Women,BERRIO Eoid,-,54,49,,,
2025,World Championships,U23 Women,DRESCHER Tamara,-,-,-,,,
2025,World Championships,U23 Women,JOUBERT Perrine,-,-,21,,,
2025,World Championships,U23 Women,WILD Charlotte,-,-,28,,,
2025,World Championships,U23 Women,PLANES Jana,-,-,31,,,
2025,World Championships,U23 Women,SHATTOCK Katherine,-,-,37,,,
2025,World Championships,U23 Women,ZIZMARE Marta,-,-,48,,,
2025,World Championships,U23 Men,KRATOCHVIL Lukas,1,-,-,,,
2025,World Championships,U23 Men,PUCHNER Oliver,2,-,30,,,
2025,World Championships,U23 Men,SEGURA Alex,3,-,29,,,
2025,World Championships,U23 Men,KRATOCHVIL Martin,4,-,-,,,
2025,World Championships,U23 Men,BARZON Martino,5,-,-,,,
2025,World Championships,U23 Men,KIES Benjamin,6,-,-,,,
2025,World Championships,U23 Men,DEBLIQUY Elouan,7,-,-,,,
2025,World Championships,U23 Men,DEBLIQUY Mewen,8,-,-,,,
2025,World Championships,U23 Men,SENECHAULT Yohann,9,-,-,,,
2025,World Championships,U23 Men,ROYLE Luc,10,-,-,,,
2025,World Championships,U23 Men,TRIPANO Manuel,11,15,63,,,
2025,World Championships,U23 Men,MAIUTTO Elio,12,-,-,,,
2025,World Championships,U23 Men,NOWOBILSKI Szymon,13,-,-,,,
2025,World Championships,U23 Men,BALDONI Alex,14,79,15,,,
2025,World Championships,U23 Men,KRAL Adam,15,-,-,,,
2025,World Championships,U23 Men,SOWIZRAL Szymon,16,-,-,,,
2025,World Championships,U23 Men,IMAZ Markel,17,-,-,,,
2025,World Championships,U23 Men,ROZENTALS Klass Francisks,18,-,53,,,
2025,World Championships,U23 Men,VICENTE Marc,19,-,-,,,
2025,World Championships,U23 Men,ROSS Benjamin,20,-,-,,,
2025,World Championships,U23 Men,GUTKNECHT Patrick,21,-,6,,,
2025,World Championships,U23 Men,KSIAZEK Krzysztof,22,-,-,,,
2025,World Championships,U23 Men,ELLIS Declan,23,-,-,,,
2025,World Championships,U23 Men,GINZEL Konrad,24,-,-,,,
2025,World Championships,U23 Men,SPAGNOL Marino,25,-,-,,,
2025,World Championships,U23 Men,KHARLAMTSEV Aleksandr,25,-,-,,,
2025,World Championships,U23 Men,MCDONALD Edward,27,-,82,,,
2025,World Championships,U23 Men,SARAMANDIF Terence,28,-,54,,,
2025,World Championships,U23 Men,STAFFEN David,29,-,-,,,
2025,World Championships,U23 Men,SAITO Shota,30,-,-,,,
2025,World Championships,U23 Men,KRAJCI Samuel,31,-,-,,,
2025,World Championships,U23 Men,JANOVCIK Adam,32,-,-,,,
2025,World Championships,U23 Men,FEDORENKO Oleksandr,33,34,8,,,
2025,World Championships,U23 Men,SUESS Philipp,34,-,-,,,
2025,World Championships,U23 Men,FRANCIS Nathaniel,35,-,58,,,
2025,World Championships,U23 Men,SENIOR James,36,-,-,,,
2025,World Championships,U23 Men,PANKHURST George,37,-,-,,,
2025,World Championships,U23 Men,SMIRNOV Egor,38,18,16,,,
2025,World Championships,U23 Men,BOHN Luca,39,-,-,,,
2025,World Championships,U23 Men,POLISHCHUK Bohdan,40,-,-,,,
2025,World Championships,U23 Men,ANTONOV Sergei,41,-,76,,,
2025,World Championships,U23 Men,YAZICI Emir Fazil,42,-,-,,,
2025,World Championships,U23 Men,MCKAY Owen,43,53,-,,,
2025,World Championships,U23 Men,PARLAK Mustafa,44,-,79,,,
2025,World Championships,U23 Men,CHANG Fu-Hua,45,-,84,,,
2025,World Championships,U23 Men,KRIZAJ Adam,46,-,-,,,
2025,World Championships,U23 Men,ANDERSON Finn,47,-,45,,,
2025,World Championships,U23 Men,VARSLAVANS Emils,48,-,-,,,
2025,World Championships,U23 Men,ESCOBAR PUGGIA Nahuel,49,44,52,,,
2025,World Championships,U23 Men,KOETSUK Piyanath,50,70,62,,,
2025,World Championships,U23 Men,KONOVCHENKO Nikita,51,-,-,,,
2025,World Championships,U23 Men,ZIMMERMAN Isaac,52,29,75,,,
2025,World Championships,U23 Men,PHUTTRAKSA Chonlasit,53,-,80,,,
2025,World Championships,U23 Men,YOUSRI Jalil Ilias,54,63,-,,,
2025,World Championships,U23 Men,SMITH Philip,55,-,-,,,
2025,World Championships,U23 Men,FIANDER Carl,56,-,71,,,
2025,World Championships,U23 Men,WU Jung-Cheng,57,-,60,,,
2025,World Championships,U23 Men,PLAUDIS Martins,58,61,47,,,
2025,World Championships,U23 Men,SOTO Geral,59,69,59,,,
2025,World Championships,U23 Men,LICEN Matic,60,-,-,,,
2025,World Championships,U23 Men,LIDSTROEM Yann,-,-,-,,,
2025,World Championships,U23 Men,CASTRYCK Titouan,-,1,2,,,
2025,World Championships,U23 Men,FERRAZZI Xabier,-,2,3,,,
2025,World Championships,U23 Men,CONTRERAS Manel,-,3,27,,,
2025,World Championships,U23 Men,PISTONI Michele,-,4,23,,,
2025,World Championships,U23 Men,KREJCI Jakub,-,5,13,,,
2025,World Championships,U23 Men,CORNU Martin,-,6,14,,,
2025,World Championships,U23 Men,LEAVER Sam,-,7,5,,,
2025,World Championships,U23 Men,DIETZ Enrico,-,8,81,,,
2025,World Championships,U23 Men,RUDORFER Martin,-,9,21,,,
2025,World Championships,U23 Men,NOVAK Matyas,-,10,9,,,
2025,World Championships,U23 Men,MONTALTO Sebastian,-,11,-,,,
2025,World Championships,U23 Men,IVCHENKO Artem,-,12,25,,,
2025,World Championships,U23 Men,LOCNIKAR Jan,-,13,22,,,
2025,World Championships,U23 Men,FARRAN Miquel,-,14,28,,,
2025,World Championships,U23 Men,GRIMANDI Gabriele,-,16,-,,,
2025,World Championships,U23 Men,PERREAU Noe,-,17,-,,,
2025,World Championships,U23 Men,FEHLMANN Nicolas,-,19,-,,,
2025,World Championships,U23 Men,PETRUSHEV Angel,-,20,-,,,
2025,World Championships,U23 Men,MISHIMA Yu,-,21,46,,,
2025,World Championships,U23 Men,ROHRER Pitt,-,22,26,,,
2025,World Championships,U23 Men,KOZLOV Ivan,-,23,11,,,
2025,World Championships,U23 Men,KUCHNO Tadeusz,-,24,7,,,
2025,World Championships,U23 Men,STANZEL Christian,-,25,-,,,
2025,World Championships,U23 Men,KREMSLEHNER Moritz,-,26,34,,,
2025,World Championships,U23 Men,KONRAD Marten,-,27,-,,,
2025,World Championships,U23 Men,STAFFEN Matus,-,28,-,,,
